project;ticketID;type;resolution;resolutionDate
RAMPART;RAMPART-1;Improvement;fixed;2007-02-07
RAMPART;RAMPART-4;Bug;fixed;2007-02-11
RAMPART;RAMPART-6;Bug;fixed;2010-12-21
RAMPART;RAMPART-7;Bug;fixed;2010-12-21
RAMPART;RAMPART-8;Bug;fixed;2007-08-08
RAMPART;RAMPART-9;Test;fixed;2007-01-27
RAMPART;RAMPART-10;Improvement;fixed;2008-04-22
RAMPART;RAMPART-12;Bug;fixed;2007-03-16
RAMPART;RAMPART-14;Bug;fixed;2007-08-06
RAMPART;RAMPART-17;Improvement;fixed;2007-07-13
RAMPART;RAMPART-18;Bug;fixed;2008-01-18
RAMPART;RAMPART-19;Test;fixed;2007-08-06
RAMPART;RAMPART-20;Improvement;fixed;2007-07-12
RAMPART;RAMPART-21;Bug;fixed;2007-02-09
RAMPART;RAMPART-22;Bug;fixed;2010-12-21
RAMPART;RAMPART-23;Bug;fixed;2008-04-29
RAMPART;RAMPART-24;Bug;fixed;2007-08-06
RAMPART;RAMPART-25;Improvement;fixed;2010-12-21
RAMPART;RAMPART-26;Bug;fixed;2008-03-17
RAMPART;RAMPART-27;Improvement;fixed;2007-11-28
RAMPART;RAMPART-29;Bug;fixed;2007-07-25
RAMPART;RAMPART-31;Bug;fixed;2008-01-14
RAMPART;RAMPART-32;Bug;fixed;2007-12-18
RAMPART;RAMPART-33;Bug;fixed;2008-04-08
RAMPART;RAMPART-36;Bug;fixed;2007-05-15
RAMPART;RAMPART-37;Bug;fixed;2007-08-08
RAMPART;RAMPART-38;New Feature;fixed;2007-05-25
RAMPART;RAMPART-39;Improvement;fixed;2008-03-17
RAMPART;RAMPART-40;New Feature;fixed;2007-05-25
RAMPART;RAMPART-42;Bug;fixed;2007-07-06
RAMPART;RAMPART-43;Bug;fixed;2007-05-25
RAMPART;RAMPART-45;Bug;fixed;2007-07-05
RAMPART;RAMPART-47;Bug;fixed;2008-01-18
RAMPART;RAMPART-48;Improvement;fixed;2007-07-05
RAMPART;RAMPART-49;Bug;fixed;2007-07-05
RAMPART;RAMPART-50;Bug;fixed;2007-08-08
RAMPART;RAMPART-51;Improvement;fixed;2007-07-06
RAMPART;RAMPART-52;Bug;fixed;2007-07-05
RAMPART;RAMPART-53;Bug;fixed;2007-07-25
RAMPART;RAMPART-54;Improvement;fixed;2007-07-11
RAMPART;RAMPART-56;Improvement;fixed;2007-08-08
RAMPART;RAMPART-57;Bug;fixed;2007-07-12
RAMPART;RAMPART-58;Bug;fixed;2007-09-24
RAMPART;RAMPART-59;Bug;fixed;2007-07-20
RAMPART;RAMPART-60;Bug;fixed;2007-08-08
RAMPART;RAMPART-62;Bug;fixed;2007-08-08
RAMPART;RAMPART-64;Bug;fixed;2008-05-09
RAMPART;RAMPART-66;Bug;fixed;2007-08-08
RAMPART;RAMPART-67;Bug;fixed;2008-01-17
RAMPART;RAMPART-68;Bug;fixed;2008-01-14
RAMPART;RAMPART-71;Bug;fixed;2007-08-16
RAMPART;RAMPART-72;Improvement;fixed;2008-03-17
RAMPART;RAMPART-73;Bug;fixed;2008-03-18
RAMPART;RAMPART-74;Bug;fixed;2007-08-17
RAMPART;RAMPART-75;Bug;fixed;2007-10-13
RAMPART;RAMPART-78;Bug;fixed;2008-01-08
RAMPART;RAMPART-80;Wish;fixed;2007-12-14
RAMPART;RAMPART-81;Bug;fixed;2007-12-13
RAMPART;RAMPART-82;Bug;fixed;2007-09-11
RAMPART;RAMPART-84;Bug;fixed;2008-01-16
RAMPART;RAMPART-85;Improvement;fixed;2007-09-11
RAMPART;RAMPART-86;Bug;fixed;2007-09-17
RAMPART;RAMPART-87;New Feature;fixed;2008-04-22
RAMPART;RAMPART-89;Bug;fixed;2008-04-07
RAMPART;RAMPART-90;Bug;fixed;2008-01-10
RAMPART;RAMPART-91;Bug;fixed;2007-10-05
RAMPART;RAMPART-92;Bug;fixed;2007-10-05
RAMPART;RAMPART-93;Bug;fixed;2007-10-05
RAMPART;RAMPART-94;Improvement;fixed;2007-10-26
RAMPART;RAMPART-95;New Feature;fixed;2007-10-26
RAMPART;RAMPART-97;Bug;fixed;2010-12-21
RAMPART;RAMPART-98;Bug;fixed;2011-02-25
RAMPART;RAMPART-99;Improvement;fixed;2007-11-06
RAMPART;RAMPART-101;Bug;fixed;2008-04-07
RAMPART;RAMPART-102;Bug;fixed;2007-11-06
RAMPART;RAMPART-103;Improvement;fixed;2008-05-27
RAMPART;RAMPART-104;Bug;fixed;2007-11-06
RAMPART;RAMPART-105;Improvement;fixed;2008-03-18
RAMPART;RAMPART-106;Improvement;fixed;2007-11-07
