ticketID;commitDate;hasFixedTicket
RAMPART-446;2019-03-08;true
RAMPART-440;2017-04-19;true
RAMPART-402;2017-02-06;false
RAMPART-402;2017-02-06;false
RAMPART-402;2017-02-06;false
RAMPART-402;2017-02-06;false
RAMPART-401;2017-02-06;false
RAMPART-401;2017-02-06;false
RAMPART-401;2017-02-06;false
RAMPART-401;2017-02-06;false
RAMPART-389;2017-02-06;false
RAMPART-390;2017-02-06;true
RAMPART-390;2017-02-06;true
RAMPART-390;2017-01-31;true
RAMPART-390;2017-01-31;true
RAMPART-390;2017-01-31;true
RAMPART-390;2017-01-31;true
RAMPART-389;2017-01-31;false
RAMPART-389;2017-01-31;false
RAMPART-389;2017-01-31;false
RAMPART-389;2017-01-31;false
RAMPART-385;2017-01-31;false
RAMPART-423;2017-01-31;true
RAMPART-423;2017-01-31;true
RAMPART-423;2017-01-31;true
RAMPART-385;2017-01-30;false
RAMPART-385;2017-01-30;false
RAMPART-385;2017-01-30;false
RAMPART-385;2017-01-30;false
RAMPART-289;2017-01-30;false
RAMPART-289;2017-01-30;false
RAMPART-289;2017-01-30;false
RAMPART-289;2017-01-30;false
RAMPART-289;2017-01-30;false
RAMPART-289;2017-01-30;false
RAMPART-289;2017-01-30;false
RAMPART-339;2017-01-30;true
RAMPART-339;2017-01-30;true
RAMPART-339;2017-01-30;true
RAMPART-339;2017-01-30;true
RAMPART-339;2017-01-30;true
RAMPART-339;2017-01-30;true
RAMPART-339;2017-01-30;true
RAMPART-339;2017-01-30;true
RAMPART-339;2017-01-29;true
RAMPART-339;2017-01-29;true
RAMPART-339;2017-01-29;true
RAMPART-339;2017-01-29;true
RAMPART-289;2017-01-29;false
RAMPART-289;2017-01-29;false
RAMPART-289;2017-01-29;false
RAMPART-289;2017-01-29;false
RAMPART-289;2017-01-29;false
RAMPART-289;2017-01-29;false
RAMPART-423;2017-01-29;true
RAMPART-426;2017-01-29;false
RAMPART-426;2017-01-29;false
RAMPART-426;2017-01-29;false
RAMPART-287;2017-01-29;false
RAMPART-287;2017-01-29;false
RAMPART-287;2017-01-29;false
RAMPART-287;2017-01-29;false
RAMPART-287;2017-01-29;false
RAMPART-287;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-234;2017-01-29;false
RAMPART-234;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-234;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-252;2017-01-29;false
RAMPART-234;2017-01-29;false
RAMPART-234;2017-01-29;false
RAMPART-234;2017-01-29;false
RAMPART-234;2017-01-29;false
RAMPART-331;2017-01-29;true
RAMPART-426;2017-01-29;false
RAMPART-426;2017-01-29;false
RAMPART-426;2017-01-29;false
RAMPART-426;2017-01-29;false
RAMPART-426;2017-01-29;false
RAMPART-426;2017-01-29;false
RAMPART-426;2017-01-29;false
RAMPART-426;2017-01-29;false
RAMPART-423;2017-01-29;true
RAMPART-417;2017-01-29;true
RAMPART-433;2017-01-29;true
RAMPART-433;2017-01-29;true
RAMPART-433;2017-01-29;true
RAMPART-433;2017-01-28;true
RAMPART-433;2017-01-28;true
RAMPART-433;2017-01-28;true
RAMPART-433;2017-01-28;true
RAMPART-433;2017-01-28;true
RAMPART-433;2017-01-28;true
RAMPART-433;2017-01-28;true
RAMPART-433;2017-01-28;true
RAMPART-426;2017-01-28;false
RAMPART-426;2017-01-28;false
RAMPART-423;2017-01-28;true
RAMPART-433;2017-01-28;true
RAMPART-433;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-423;2017-01-14;true
RAMPART-423;2017-01-14;true
RAMPART-423;2017-01-14;true
RAMPART-423;2017-01-14;true
RAMPART-426;2017-01-14;false
RAMPART-426;2017-01-14;false
RAMPART-426;2017-01-14;false
RAMPART-426;2017-01-14;false
RAMPART-433;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-417;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-417;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-433;2017-01-14;true
RAMPART-343;2015-12-27;true
RAMPART-379;2015-12-27;true
RAMPART-378;2015-12-27;true
RAMPART-381;2015-12-26;true
RAMPART-379;2015-12-26;true
RAMPART-378;2015-12-26;true
RAMPART-381;2015-12-26;true
RAMPART-405;2015-12-20;true
RAMPART-405;2015-12-20;true
RAMPART-367;2015-12-11;true
RAMPART-367;2015-12-11;true
RAMPART-415;2014-07-28;true
RAMPART-415;2014-07-28;true
RAMPART-416;2014-07-20;true
RAMPART-415;2014-07-16;true
RAMPART-415;2014-07-15;true
